bannerid;banname;bandesc;filetype;url;width;height;bantype;person_tag
31897;a57b27;fe13d6;1;7c1569;300;250;1;
31891;febd7d;fe13d6;1;879cd2;980;90;1;78,81
31892;65d427;fe13d6;1;879cd2;728;90;1;78,81
31895;39e74b;fe13d6;1;879cd2;300;600;1;78,81
31896;16fd2a;fe13d6;1;879cd2;160;600;1;78,81
31898;f06a49;fe13d6;1;879cd2;300;250;1;78,81
31874;6c7107;fe13d6;3;9c4a6d;980;90;1;65,81
31875;67951e;fe13d6;3;458268;728;90;1;65,81
31893;eb8c14;fe13d6;3;5b4bb7;300;600;1;65,81
31851;e5fab4;fe13d6;2;5dc9f5;980;90;1;60,81
31852;20404f;fe13d6;2;5dc9f5;300;600;1;60,81
31853;0b6c95;fe13d6;2;5dc9f5;160;600;1;60,81
31854;d6945c;fe13d6;2;5dc9f5;300;250;1;60,81
31877;94808f;fe13d6;2;9ed05f;300;600;1;81,90
31876;40f90b;fe13d6;1;4c3a8c;160;600;1;27,81
31880;d1afb6;fe13d6;1;e58764;300;600;1;27,81
31884;77f4ed;fe13d6;1;fa2f7e;300;250;1;27,81
31885;7050a5;fe13d6;2;b8572c;300;250;1;58,81
31886;98e155;fe13d6;2;dc922e;300;600;1;58,81
31912;0271c0;fe13d6;1;095e2c;300;600;1;13,81
31914;c885d1;fe13d6;1;7d6d66;160;600;1;13,81
31916;c45beb;fe13d6;1;7094c8;300;250;1;13,81
31920;c162bd;fe13d6;1;bd4e53;300;600;1;4,82
31921;28fc03;fe13d6;1;1cf6a5;160;600;1;4,82
31922;3e3c4f;fe13d6;1;01b36b;300;250;1;4,82
31911;4a48f3;fe13d6;3;ef1cc0;300;250;1;81
31913;94808f;fe13d6;3;ef1cc0;300;600;1;81
31915;1b19d6;fe13d6;3;ef1cc0;980;90;1;81
31894;60c2e8;fe13d6;1;e2d65c;160;600;1;69,81
31878;6c70c9;fe13d6;2;2b06c4;980;90;1;60,81
31879;57fcb1;fe13d6;2;2b06c4;300;600;1;60,81
31881;fa8b26;fe13d6;2;2b06c4;160;600;1;60,81
31882;b39ae6;fe13d6;2;2b06c4;300;250;1;60,81
